Node Number	X Location (in)	Y Location (in)	Z Location (in)	
641	1.15	-0.9	0.6	
642	1.15	-0.9	0.55	
643	1.15	-0.9	0.5	
644	1.15	-0.9	0.45	
645	1.15	-0.9	0.4	
646	1.15	-0.9	0.35	
647	1.15	-0.9	0.3	
648	1.15	-0.9	0.25	
649	1.15	-0.9	0.2	
650	1.15	-0.9	0.15	
651	1.15	-0.9	0.1	
652	1.15	-0.9	5.e-002	
653	1.15	0.9	0.	
654	1.15	0.85	0.	
655	1.15	0.8	0.	
656	1.15	0.75	0.	
657	1.15	0.7	0.	
658	1.15	0.65	0.	
659	1.15	0.6	0.	
660	1.15	0.55	0.	
661	1.15	0.5	0.	
662	1.15	0.45	0.	
663	1.15	0.4	0.	
664	1.15	0.35	0.	
665	1.15	0.3	0.	
666	1.15	0.25	0.	
667	1.15	0.2	0.	
668	1.15	0.15	0.	
669	1.15	0.1	0.	
670	1.15	5.e-002	0.	
671	1.15	1.1952e-016	0.	
672	1.15	-5.e-002	0.	
673	1.15	-1.e-001	0.	
674	1.15	-0.15	0.	
675	1.15	-0.2	0.	
676	1.15	-0.25	0.	
677	1.15	-0.3	0.	
678	1.15	-0.35	0.	
679	1.15	-0.4	0.	
680	1.15	-0.45	0.	
681	1.15	-0.5	0.	
682	1.15	-0.55	0.	
683	1.15	-0.6	0.	
684	1.15	-0.65	0.	
685	1.15	-0.7	0.	
686	1.15	-0.75	0.	
687	1.15	-0.8	0.	
688	1.15	-0.85	0.	
689	1.15	0.9	0.65	
690	1.15	0.9	0.6	
691	1.15	0.9	0.55	
692	1.15	0.9	0.5	
693	1.15	0.9	0.45	
694	1.15	0.9	0.4	
695	1.15	0.9	0.35	
696	1.15	0.9	0.3	
697	1.15	0.9	0.25	
698	1.15	0.9	0.2	
699	1.15	0.9	0.15	
700	1.15	0.9	0.1	
701	1.15	0.9	5.e-002	
702	0.9	1.15	0.	
703	1.1452	0.94877	0.	
704	1.131	0.99567	0.	
705	1.1079	1.0389	0.	
706	1.0768	1.0768	0.	
707	1.0389	1.1079	0.	
708	0.99567	1.131	0.	
709	0.94877	1.1452	0.	
710	0.9	1.15	5.e-002	
711	0.9	1.15	0.1	
712	0.9	1.15	0.15	
713	0.9	1.15	0.2	
714	0.9	1.15	0.25	
715	0.9	1.15	0.3	
716	0.9	1.15	0.35	
717	0.9	1.15	0.4	
718	0.9	1.15	0.45	
719	0.9	1.15	0.5	
720	0.9	1.15	0.55	
721	0.9	1.15	0.6	
722	0.9	1.15	0.65	
723	-0.9	1.15	0.	
724	-0.85	1.15	0.	
725	-0.8	1.15	0.	
726	-0.75	1.15	0.	
727	-0.7	1.15	0.	
728	-0.65	1.15	0.	
729	-0.6	1.15	0.	
730	-0.55	1.15	0.	
731	-0.5	1.15	0.	
732	-0.45	1.15	0.	
733	-0.4	1.15	0.	
734	-0.35	1.15	0.	
735	-0.3	1.15	0.	
736	-0.25	1.15	0.	
737	-0.2	1.15	0.	
738	-0.15	1.15	0.	
739	-0.1	1.15	0.	
740	-5.e-002	1.15	0.	
741	-1.3659e-016	1.15	0.	
742	5.e-002	1.15	0.	
743	1.e-001	1.15	0.	
744	0.15	1.15	0.	
745	0.2	1.15	0.	
746	0.25	1.15	0.	
747	0.3	1.15	0.	
748	0.35	1.15	0.	
749	0.4	1.15	0.	
750	0.45	1.15	0.	
751	0.5	1.15	0.	
752	0.55	1.15	0.	
753	0.6	1.15	0.	
754	0.65	1.15	0.	
755	0.7	1.15	0.	
756	0.75	1.15	0.	
757	0.8	1.15	0.	
758	0.85	1.15	0.	
759	-0.9	1.15	0.65	
760	-0.9	1.15	0.6	
761	-0.9	1.15	0.55	
762	-0.9	1.15	0.5	
763	-0.9	1.15	0.45	
764	-0.9	1.15	0.4	
765	-0.9	1.15	0.35	
766	-0.9	1.15	0.3	
767	-0.9	1.15	0.25	
768	-0.9	1.15	0.2	
769	-0.9	1.15	0.15	
770	-0.9	1.15	0.1	
771	-0.9	1.15	5.e-002	
772	-1.15	0.9	0.	
773	-0.94877	1.1452	0.	
774	-0.99567	1.131	0.	
775	-1.0389	1.1079	0.	
776	-1.0768	1.0768	0.	
777	-1.1079	1.0389	0.	
778	-1.131	0.99567	0.	
779	-1.1452	0.94877	0.	
780	-1.15	0.9	5.e-002	
781	-1.15	0.9	0.1	
782	-1.15	0.9	0.15	
783	-1.15	0.9	0.2	
784	-1.15	0.9	0.25	
785	-1.15	0.9	0.3	
786	-1.15	0.9	0.35	
787	-1.15	0.9	0.4	
788	-1.15	0.9	0.45	
789	-1.15	0.9	0.5	
790	-1.15	0.9	0.55	
791	-1.15	0.9	0.6	
792	-1.15	0.9	0.65	
793	-1.15	-0.85	0.	
794	-1.15	-0.8	0.	
795	-1.15	-0.75	0.	
796	-1.15	-0.7	0.	
797	-1.15	-0.65	0.	
798	-1.15	-0.6	0.	
799	-1.15	-0.55	0.	
800	-1.15	-0.5	0.	
801	-1.15	-0.45	0.	
